Score, Flips left, Heads, Tails, Difference
0, 97, 1, 2, -1
0, 96, 1, 3, -2
0, 95, 2, 3, -1
0, 94, 3, 3, 0
0, 93, 4, 3, 1
0, 92, 5, 3, 2
0, 91, 6, 3, 3
0, 90, 6, 4, 2
0, 89, 7, 4, 3
0, 59, 0, 0, 0
0, 58, 0, 1, -1
0, 57, 1, 1, 0
0, 56, 1, 2, -1
0, 55, 1, 3, -2
0, 54, 1, 4, -3
0, 53, 2, 4, -2
0, 52, 2, 5, -3
0, 51, 2, 6, -4
1, 66, 0, 0, 0
1, 65, 1, 0, 1
1, 64, 2, 0, 2
1, 63, 3, 0, 3
1, 62, 3, 1, 2
1, 61, 3, 2, 1
1, 60, 4, 2, 2
1, 59, 5, 2, 3
1, 58, 6, 2, 4
1, 57, 7, 2, 5
2, 72, 0, 0, 0
2, 71, 1, 0, 1
2, 70, 2, 0, 2
2, 69, 3, 0, 3
2, 68, 3, 1, 2
2, 67, 4, 1, 3
2, 66, 4, 2, 2
2, 65, 5, 2, 3
2, 64, 5, 3, 2
2, 63, 5, 4, 1
2, 62, 6, 4, 2
2, 61, 6, 5, 1
3, 76, 0, 0, 0
3, 75, 0, 1, -1
3, 74, 1, 1, 0
3, 73, 1, 2, -1
3, 72, 2, 2, 0
3, 71, 2, 3, -1
3, 70, 2, 4, -2
3, 69, 3, 4, -1
3, 68, 3, 5, -2
3, 67, 3, 6, -3
3, 66, 4, 6, -2
3, 66, 4, 6, -2
3, 65, 5, 6, -1
4, 80, 0, 0, 0
4, 79, 1, 0, 1
4, 78, 2, 0, 2
4, 77, 3, 0, 3
4, 76, 4, 0, 4
4, 75, 4, 1, 3
4, 74, 5, 1, 4
4, 73, 6, 1, 5
5, 88, 0, 0, 0
5, 88, 0, 0, 0
5, 82, 4, 2, 2
5, 81, 5, 2, 3
5, 80, 6, 2, 4
5, 79, 6, 3, 3
5, 78, 7, 3, 4
5, 77, 8, 3, 5
5, 47, 0, 0, 0
5, 41, 3, 3, 0
5, 40, 3, 4, -1
5, 39, 4, 4, 0
5, 38, 5, 4, 1
5, 37, 5, 5, 0
5, 36, 6, 5, 1
6, 51, 0, 0, 0
6, 45, 2, 4, -2
6, 44, 2, 5, -3
6, 43, 3, 5, -2
6, 42, 3, 6, -3
6, 41, 3, 7, -4
7, 56, 0, 0, 0
7, 50, 3, 3, 0
7, 49, 4, 3, 1
7, 48, 4, 4, 0
7, 47, 5, 4, 1
7, 46, 5, 5, 0
7, 45, 5, 6, -1
8, 60, 0, 0, 0
8, 54, 2, 4, -2
8, 53, 2, 5, -3
8, 52, 3, 5, -2
8, 51, 4, 5, -1
8, 50, 4, 6, -2
8, 49, 5, 6, -1
9, 64, 0, 0, 0
9, 58, 3, 3, 0
9, 57, 3, 4, -1
9, 56, 3, 5, -2
9, 55, 4, 5, -1
9, 54, 4, 6, -2
9, 53, 5, 6, -1
9, 23, 0, 0, 0
9, 17, 1, 5, -4
10, 32, 0, 0, 0
10, 26, 4, 2, 2
10, 25, 5, 2, 3
10, 24, 6, 2, 4
10, 23, 7, 2, 5
10, 7, 0, 0, 0
None, None, 0, 0, 0
10, None, 0, 0, 0
10, None, 0, 0, 0
10, None, 0, 0, 0
10, None, 0, 0, 0
10, None, 0, 0, 0
10, None, 0, 0, 0
0, 100, 0, 0, 0
0, 94, 2, 4, -2
0, 93, 3, 4, -1
0, 92, 4, 4, 0
0, 91, 5, 4, 1
0, 90, 6, 4, 2
0, 89, 7, 4, 3
1, 104, 0, 0, 0
1, 98, 4, 2, 2
1, 97, 5, 2, 3
1, 96, 5, 3, 2
1, 95, 6, 3, 3
1, 94, 7, 3, 4
1, 93, 8, 3, 5
2, 108, 0, 0, 0
2, 102, 4, 2, 2
2, 101, 4, 3, 1
2, 100, 5, 3, 2
2, 99, 6, 3, 3
2, 98, 7, 3, 4
2, 97, 8, 3, 5
3, 112, 0, 0, 0
3, 106, 3, 3, 0
3, 105, 3, 4, -1
3, 104, 4, 4, 0
3, 103, 4, 5, -1
3, 102, 5, 5, 0
3, 101, 6, 5, 1
3, 71, 0, 0, 0
3, 65, 5, 1, 4
3, 64, 5, 2, 3
3, 63, 5, 3, 2
3, 62, 6, 3, 3
3, 61, 7, 3, 4
3, 60, 7, 4, 3
4, 75, 0, 0, 0
4, 69, 3, 3, 0
4, 68, 4, 3, 1
4, 67, 4, 4, 0
4, 66, 4, 5, -1
4, 65, 5, 5, 0
4, 64, 5, 6, -1
5, 79, 0, 0, 0
5, 73, 6, 0, 6
6, 88, 0, 0, 0
6, 82, 6, 0, 6
7, 97, 0, 0, 0
7, 91, 6, 0, 6
8, 106, 0, 0, 0
8, 100, 6, 0, 6
8, 70, 0, 0, 0
8, 64, 1, 5, -4
9, 79, 0, 0, 0
9, 73, 4, 2, 2
9, 72, 4, 3, 1
9, 71, 5, 3, 2
9, 70, 6, 3, 3
9, 69, 7, 3, 4
9, 68, 8, 3, 5
10, 83, 0, 0, 0
10, 77, 4, 2, 2
10, 76, 5, 2, 3
10, 75, 5, 3, 2
10, 74, 5, 4, 1
10, 73, 5, 5, 0
10, 72, 6, 5, 1
11, 87, 0, 0, 0
11, 81, 4, 2, 2
11, 80, 5, 2, 3
11, 79, 5, 3, 2
11, 78, 5, 4, 1
11, 77, 5, 5, 0
11, 76, 5, 6, -1
12, 91, 0, 0, 0
12, 85, 2, 4, -2
12, 84, 3, 4, -1
12, 83, 3, 5, -2
12, 82, 4, 5, -1
12, 81, 5, 5, 0
12, 80, 6, 5, 1
13, 95, 0, 0, 0
13, 89, 5, 1, 4
13, 88, 6, 1, 5
14, 103, 0, 0, 0
14, 97, 6, 0, 6
15, 111, 1, 0, 1
15, 110, 1, 1, 0
15, 109, 2, 1, 1
15, 108, 2, 2, 0
15, 107, 3, 2, 1
15, 106, 3, 3, 0
15, 105, 4, 3, 1
15, 104, 4, 4, 0
15, 103, 5, 4, 1
15, 102, 6, 4, 2
15, 101, 7, 4, 3
15, 71, 0, 0, 0
15, 65, 3, 3, 0
15, 64, 4, 3, 1
15, 63, 5, 3, 2
15, 62, 6, 3, 3
15, 61, 7, 3, 4
15, 60, 8, 3, 5
