Score,Flips left,Heads,Tails,Action,Reward
  0,100, 0, 0, 0,   0
  0, 99, 1, 0, 0,  -1
  0, 98, 2, 0, 0,  -1
  0, 97, 2, 1, 0,  -1
  0, 96, 3, 1, 0,  -1
  0, 95, 4, 1, 0,  -1
  0, 94, 5, 1, 0,  -1
  1,109, 0, 0, 3,  15
  1,109, 0, 0, 0,   0
  1,108, 1, 0, 0,  -1
  1,107, 2, 0, 0,  -1
  1,106, 3, 0, 0,  -1
  1,120, 0, 0, 3,  14
  2,121, 0, 0, 0,   1
  2,120, 0, 1, 0,  -1
  2,119, 0, 2, 0,  -1
  2,133, 0, 0, 2,  14
  3,134, 0, 0, 0,   1
  3,133, 0, 1, 0,  -1
  3,132, 0, 2, 0,  -1
  3,102, 0, 0, 2, -30
  3,102, 0, 0, 0,   0
  3,101, 1, 0, 0,  -1
  3,100, 2, 0, 0,  -1
  3,113, 0, 0, 3, 14
  4,114, 0, 0, 0,  1
  4,113, 1, 0, 0, -1
  4,112, 1, 1, 0, -1
  4,111, 2, 1, 0, -1
  4,110, 3, 1, 0, -1
  4,109, 3, 2, 0, -1
  4,108, 4, 2, 0, -1
  4,107, 4, 3, 0, -1
  4,106, 5, 3, 0, -1
  4,105, 6, 3, 0, -1
  4,104, 7, 3, 0, -1
  4,103, 8, 3, 0, -1
  5,118, 0, 0, 3, 15
  5,117, 1, 0, 0, -1
  5,116, 2, 0, 0, -1
  5,115, 3, 0, 0, -1
  6,130, 0, 0, 3, 15
  6,129, 1, 0, 0, -1
  6,128, 2, 0, 0, -1
  6,127, 2, 1, 0, -1
  6,126, 3, 1, 0, -1
  6,125, 3, 2, 0, -1
  6,124, 4, 2, 0, -1
  6,123, 4, 3, 0, -1
  6,122, 5, 3, 0, -1
  6,121, 5, 4, 0, -1
  6,120, 5, 5, 0, -1
  6, 90, 0, 0, 2,-30
  6, 89, 1, 0, 0, -1
  6, 88, 2, 0, 0, -1
  6, 87, 3, 0, 0, -1
  7,102, 0, 0, 3, 15
  7,101, 0, 1, 0, -1
  7,100, 1, 1, 0, -1
  7, 99, 2, 1, 0, -1
  7, 98, 3, 1, 0, -1
  7, 97, 3, 2, 0, -1
  7, 96, 4, 2, 0, -1
