Score,Flips left,Heads,Tails,Action,Reward
  0, 95, 3, 2, 1, -5
  0, 94, 3, 3, 0, -1
  0, 93, 4, 3, 0, -1
  0, 92, 5, 3, 0, -1
  0, 91, 6, 3, 0, -1
  0, 90, 7, 3, 0, -1
  0, 89, 8, 3, 0, -1
  0, 88, 9, 3, 0, -1
  1,103, 0, 0, 3, 15
  1, 98, 3, 2, 1, -5
  1, 97, 4, 2, 0, -1
  1, 96, 5, 2, 0, -1
  1, 95, 6, 2, 0, -1
  1, 94, 7, 2, 0, -1
  2,109, 0, 0, 3, 15
  2,104, 4, 1, 1, -5
  2,103, 5, 1, 0, -1
  2, 73, 0, 0, 3,-30
  2, 68, 2, 3, 1, -5
  2, 67, 2, 4, 0, -1
  3, 82, 0, 0, 2, 15
  3, 77, 2, 3, 1, -5
  3, 76, 3, 3, 0, -1
  3, 75, 3, 4, 0, -1
  4, 90, 0, 0, 2, 15
  4, 85, 1, 4, 1, -5
  5,100, 0, 0, 2, 15
  5, 95, 1, 4, 1, -5
  6,110, 0, 0, 2, 15
  6,105, 3, 2, 1, -5
  6,104, 4, 2, 0, -1
  6,103, 5, 2, 0, -1
  6,102, 6, 2, 0, -1
  6,101, 7, 2, 0, -1
  6, 71, 0, 0, 3,-30
  6, 66, 2, 3, 1, -5
  6, 65, 3, 3, 0, -1
  6, 64, 4, 3, 0, -1
  6, 63, 5, 3, 0, -1
  6, 62, 5, 4, 0, -1
  6, 61, 5, 5, 0, -1
  6, 60, 5, 6, 0, -1
  7, 75, 0, 0, 2, 15
  7, 70, 1, 4, 1, -5
  8, 85, 0, 0, 2, 15
  8, 80, 4, 1, 1, -5
  8, 79, 4, 2, 0, -1
  8, 78, 5, 2, 0, -1
  8, 77, 5, 3, 0, -1
  8, 76, 5, 4, 0, -1
  8, 75, 6, 4, 0, -1
  8, 74, 7, 4, 0, -1
  8, 73, 7, 5, 0, -1
  8, 72, 7, 6, 0, -1
  8, 71, 7, 7, 0, -1
  9, 86, 0, 0, 2, 15
  9, 81, 3, 2, 1, -5
  9, 80, 4, 2, 0, -1
  9, 79, 5, 2, 0, -1
  9, 78, 5, 3, 0, -1
  9, 77, 6, 3, 0, -1
  9, 76, 7, 3, 0, -1
  9, 75, 7, 4, 0, -1
  9, 74, 7, 5, 0, -1
  9, 73, 7, 6, 0, -1
  9, 72, 8, 6, 0, -1
  9, 71, 9, 6, 0, -1
  9, 70,10, 6, 0, -1
  9, 69,11, 6, 0, -1
  9, 68,12, 6, 0, -1
  9, 67,13, 6, 0, -1
  9, 37, 0, 0, 3,-30
  9, 36, 0, 1, 0, -1
  9, 35, 1, 1, 0, -1
  9, 34, 2, 1, 0, -1
  9, 33, 3, 1, 0, -1
  9, 32, 3, 2, 0, -1
  9, 31, 3, 3, 0, -1
  9, 30, 3, 4, 0, -1
 10, 45, 0, 0, 2, 15
 10, 44, 1, 0, 0, -1
 10, 43, 2, 0, 0, -1
 10, 42, 3, 0, 0, -1
 10, 41, 4, 0, 0, -1
 11, 56, 0, 0, 3, 15
 11, 51, 2, 3, 1, -5
 11, 50, 3, 3, 0, -1
 11, 49, 4, 3, 0, -1
 11, 48, 5, 3, 0, -1
 11, 47, 6, 3, 0, -1
 11, 46, 7, 3, 0, -1
 11, 45, 8, 3, 0, -1
 11, 44, 8, 4, 0, -1
 11, 43, 9, 4, 0, -1
 11, 42,10, 4, 0, -1
 12, 57, 0, 0, 3, 15
 12, 52, 5, 0, 1, -5
 13, 67, 0, 0, 3, 15
 13, 62, 4, 1, 1, -5
 13, 61, 4, 2, 0, -1
 13, 60, 5, 2, 0, -1
 13, 59, 6, 2, 0, -1
 13, 58, 7, 2, 0, -1
 14, 73, 0, 0, 3, 15
 14, 68, 3, 2, 1, -5
 14, 67, 4, 2, 0, -1
 14, 66, 4, 3, 0, -1
 14, 65, 5, 3, 0, -1
 14, 64, 5, 4, 0, -1
 14, 63, 6, 4, 0, -1
 14, 62, 7, 4, 0, -1
 14, 61, 7, 5, 0, -1
 14, 60, 7, 6, 0, -1
 14, 59, 8, 6, 0, -1
 14, 58, 8, 7, 0, -1
 15, 73, 0, 0, 2, 15
 15, 68, 1, 4, 1, -5
 16, 83, 0, 0, 2, 15
 16, 78, 4, 1, 1, -5
 16, 77, 5, 1, 0, -1
 17, 92, 0, 0, 3, 15
 17, 87, 2, 3, 1, -5
 17, 86, 2, 4, 0, -1
