Score, Flips left, Heads, Tails, Difference
  0,100, 0, 0, 0
  0, 99, 1, 0, 1
  0, 98, 2, 0, 2
  0, 97, 3, 0, 3
  0, 96, 4, 0, 4
  0, 95, 5, 0, 5
  1,109, 0, 1,-1
  1,108, 0, 2,-2
  1,107, 0, 3,-3
  2,121, 1, 0, 1
  2,120, 2, 0, 2
  2,119, 3, 0, 3
  2,118, 4, 0, 4
  2,117, 5, 0, 5
  2, 86, 0, 1,-1
  2, 85, 0, 2,-2
  2, 84, 0, 3,-3
  3, 98, 1, 0, 1
  3, 97, 2, 0, 2
  3, 96, 3, 0, 3
  3, 95, 3, 1, 2
  3, 94, 3, 2, 1
  3, 93, 4, 2, 2
  3, 92, 4, 3, 1
  3, 91, 5, 3, 2
  3, 90, 6, 3, 3
  3, 89, 7, 3, 4
  3, 88, 7, 4, 3
  3, 87, 8, 4, 4
  3, 86, 9, 4, 5
  4,100, 0, 1,-1
  4, 99, 1, 1, 0
  4, 98, 2, 1, 1
  4, 97, 3, 1, 2
  4, 96, 3, 2, 1
  4, 95, 4, 2, 2
  4, 94, 5, 2, 3
  4, 93, 6, 2, 4
  4, 92, 7, 2, 5
  5,106, 1, 0, 1
  5,105, 2, 0, 2
  5,104, 3, 0, 3
  5,103, 4, 0, 4
  5,102, 4, 1, 3
  5,101, 4, 2, 2
  5,100, 4, 3, 1
  5, 99, 4, 4, 0
  5, 98, 5, 4, 1
  5, 97, 5, 5, 0
  5, 96, 6, 5, 1
  5, 65, 1, 0, 1
  5, 64, 2, 0, 2
  5, 63, 3, 0, 3
  5, 62, 4, 0, 4
  5, 61, 5, 0, 5
  5, 30, 0, 1,-1
  5, 29, 0, 2,-2
  5, 28, 0, 3,-3
  6, 42, 0, 1,-1
  6, 41, 1, 1, 0
  6, 40, 1, 2,-1
  6, 39, 2, 2, 0
  6, 38, 3, 2, 1
  6, 37, 4, 2, 2
  6, 36, 4, 3, 1
  6, 35, 5, 3, 2
  6, 34, 5, 4, 1
  6, 33, 6, 4, 2
  6, 32, 6, 5, 1
  7, 46, 0, 1,-1
  7, 45, 1, 1, 0
  7, 44, 2, 1, 1
  7, 43, 3, 1, 2
  7, 42, 4, 1, 3
  7, 41, 4, 2, 2
  7, 40, 5, 2, 3
  7, 39, 6, 2, 4
  7, 38, 6, 3, 3
  7, 37, 6, 4, 2
  7, 36, 6, 5, 1
  8, 50, 1, 0, 1
  8, 49, 1, 1, 0
  8, 48, 2, 1, 1
  8, 47, 2, 2, 0
  8, 46, 2, 3,-1
  8, 45, 2, 4,-2
  8, 44, 3, 4,-1
  8, 43, 3, 5,-2
  8, 42, 4, 5,-1
  8, 41, 5, 5, 0
  8, 40, 5, 6,-1
  9, 54, 0, 1,-1
  9, 53, 1, 1, 0
  9, 52, 2, 1, 1
  9, 51, 3, 1, 2
  9, 50, 4, 1, 3
  9, 49, 5, 1, 4
  9, 48, 6, 1, 5
 10, 62, 1, 0, 1
 10, 61, 2, 0, 2
 10, 60, 3, 0, 3
 10, 59, 4, 0, 4
 10, 58, 4, 1, 3
 10, 57, 4, 2, 2
 10, 56, 5, 2, 3
 10, 55, 6, 2, 4
 10, 54, 7, 2, 5
 11, 68, 1, 0, 1
 11, 67, 1, 1, 0
 11, 66, 1, 2,-1
 11, 65, 1, 3,-2
 11, 64, 1, 4,-3
 12, 78, 1, 0, 1
 12, 77, 1, 1, 0
 12, 76, 1, 2,-1
 12, 75, 1, 3,-2
 12, 74, 2, 3,-1
 12, 73, 2, 4,-2
 12, 72, 3, 4,-1
 12, 71, 3, 5,-2
 12, 70, 4, 5,-1
 12, 69, 4, 6,-2
 12, 68, 5, 6,-1
 13, 82, 1, 0, 1
 13, 81, 1, 1, 0
 13, 80, 1, 2,-1
 13, 79, 1, 3,-2
 13, 78, 2, 3,-1
 13, 77, 3, 3, 0
 13, 76, 4, 3, 1
 13, 75, 5, 3, 2
 13, 74, 6, 3, 3
 13, 73, 6, 4, 2
 13, 72, 6, 5, 1
 13, 41, 0, 1,-1
 13, 40, 0, 2,-2
 13, 39, 0, 3,-3
 14, 53, 0, 1,-1
 14, 52, 0, 2,-2
 14, 51, 0, 3,-3
 15, 65, 0, 1,-1
 15, 64, 1, 1, 0
 15, 63, 2, 1, 1
 15, 62, 3, 1, 2
 15, 61, 3, 2, 1
 15, 60, 4, 2, 2
 15, 59, 4, 3, 1
 15, 58, 5, 3, 2
 15, 57, 5, 4, 1
 15, 56, 5, 5, 0
 15, 55, 6, 5, 1
 15, 24, 1, 0, 1
 15, 23, 1, 1, 0
 15, 22, 2, 1, 1
 15, 21, 3, 1, 2
 15, 20, 4, 1, 3
 15, 19, 5, 1, 4
 15, 18, 6, 1, 5
 16, 32, 1, 0, 1
 16, 31, 1, 1, 0
 16, 30, 2, 1, 1
 16, 29, 3, 1, 2
 16, 28, 4, 1, 3
 16, 27, 5, 1, 4
 16, 26, 5, 2, 3
 16, 25, 6, 2, 4
 16, 24, 7, 2, 5
 17, 38, 0, 1,-1
 17, 37, 0, 2,-2
 17, 36, 0, 3,-3
 18, 50, 0, 1,-1
 18, 49, 1, 1, 0
 18, 48, 1, 2,-1
 18, 47, 2, 2, 0
 18, 46, 2, 3,-1
 18, 45, 3, 3, 0
 18, 44, 3, 4,-1
 18, 43, 4, 4, 0
 18, 42, 5, 4, 1
 18, 41, 6, 4, 2
 18, 40, 7, 4, 3
 18, 39, 7, 5, 2
 18, 38, 7, 6, 1
 19, 52, 1, 0, 1
 19, 51, 2, 0, 2
 19, 50, 3, 0, 3
 19, 49, 4, 0, 4
 19, 48, 4, 1, 3
 19, 47, 4, 2, 2
 19, 46, 5, 2, 3
 19, 45, 5, 3, 2
 19, 44, 5, 4, 1
 19, 43, 5, 5, 0
 19, 42, 5, 6,-1
